git_hash=55c2d9c;execution date=20240624_092201;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0x11b1a990c3_1;0;0;0;-1;2.41e-07;443.418
0x11a835fa42_0;0;0;0;-1;3.8e-07;443.419
0xf2e450c4_0;0;0;0;-1;6.01e-07;443.421
0xf468c22d3_1;0;0;0;-1;7.71e-07;443.424
0xb064a1262_1;0;0;0;-1;3.6e-07;443.426
0x216c1228a_1;0;0;0;-1;2.01e-07;443.428
0x1078eca7a0_2;0;0;0;-1;0.109678;443.539
0x9d5f1a7b0_0;0;0;0;-1;7.51e-07;443.542
0x6fa2df0c3_0;0;0;0;-1;2.7e-07;443.544
0xca9ccb1ae_0;0;0;0;-1;3.91e-07;443.546
0x36c8c800d_2;0;0;0;-1;2.31e-07;443.548
0xe78531e26_2;0;0;0;-1;1.162e-06;443.549
0x6e69a8487_1;0;0;0;-1;5.01e-07;443.551
0x1043a3487_0;0;0;0;-1;7.51e-07;443.553
0x709e0827f_1;0;0;0;-1;4.21e-07;443.555
0xcc9f71cda_0;0;0;0;-1;6.21e-07;443.557
0x9ba2cb130_2;0;0;0;-1;2.7e-07;443.559
0x40bc44ad5_2;0;0;0;-1;4.61e-07;443.561
0xf075c8f8f_2;0;0;0;-1;5.11e-07;443.562
0x1e1061b93_2;0;0;0;-1;4.41e-07;443.564
0xe7fa72b59_2;0;0;0;-1;7.31e-07;443.566
0x79659e654_0;0;0;0;-1;4.41e-07;443.568
0xc7483df1d_0;0;0;0;-1;5.01e-07;443.57
0x30367881a_2;0;0;0;-1;6.81e-07;443.573
0xf180b219c_2;0;0;0;-1;274.262;717.837
0x895314488_2;0;0;0;-1;6.71e-07;717.839
0xdfb7cb5c5_1;0;0;0;-1;5.81e-07;717.841
0xef54c2905_1;0;0;0;-1;4.71e-07;717.843
0xa2b9fcac8_2;0;0;0;-1;4.11e-07;717.845
0xf7b11eeea_0;0;0;0;-1;3.91e-07;717.846
0x84fa52b64_0;0;0;0;-1;4.31e-07;717.848
0xde603219_2;0;0;0;-1;3.91e-07;717.85
0x59673321c_1;0;0;0;-1;5.41e-07;717.852
0x1d0839d1_2;0;0;0;-1;6.61e-07;717.854
0x73b5b284d_2;0;0;0;-1;5.31e-07;717.856
0x1c4ed4519_0;0;0;0;-1;4.51e-07;717.857
0xdbf5f9bf6_2;0;0;0;-1;3.81e-07;717.859
0xb86fbb055_2;0;0;0;-1;2.31e-07;717.861
0x803f0e7d1_0;0;0;0;-1;4.11e-07;717.863
0x3a9f1485c_2;0;0;0;-1;5.21e-07;717.865
0x32dd3008c_1;0;0;0;-1;6.41e-07;717.867
0xbd33d2773_1;0;0;0;-1;6.71e-07;717.869
0xfa1c9fe38_1;1;0;420;-1;0.175685;718.047
0xed378af3f_2;0;0;0;-1;3.91e-07;718.049
0x911657e14_1;0;0;0;-1;4.81e-07;718.05
0x83408a67c_0;0;0;0;-1;2.31e-07;718.052
0xffb16211a_1;0;0;0;-1;6.71e-07;718.054
0x289faefbe_1;0;0;0;-1;3.63191;721.688
0x28dcc145f_2;0;0;0;-1;3.4e-07;721.69
0xa913dc5df_2;0;0;0;-1;3.9e-07;721.692
0x9af419d9a_1;0;0;0;-1;2.8e-07;721.694
0x113e0626a5_1;0;0;0;-1;6.02e-07;721.696
0x10e6833852_0;0;0;0;-1;5.11e-07;721.698
0xfee6e171f_2;0;0;0;-1;7.21e-07;721.7
0xfc2b0e671_2;0;0;0;-1;3.6e-07;721.702
0xa9f470350_1;0;0;0;-1;5.51e-07;721.704
0x6a07b8ebc_0;0;0;0;-1;9.90371;731.609
0xd773ec61f_2;0;0;0;-1;5.01e-07;731.612
0x54100cbe4_0;0;0;0;-1;4.71e-07;731.614
0xe3f0b3f05_2;0;0;0;-1;2.084e-06;731.616
0x95ff795ea_0;0;0;0;-1;2.51e-07;731.618
0x9deb9e72c_0;0;0;0;-1;5.01e-07;731.62
0x114f7cffc2_1;0;0;0;-1;5.61e-07;731.622
0xe611191a7_2;0;0;0;-1;3.71e-07;731.623
0xd3c4f9344_1;0;0;0;-1;4.61e-07;731.625
0x1f5549634_2;0;0;0;-1;2.61e-07;731.627
0x3fd2077f6_0;0;0;0;-1;4.61e-07;731.629
0x44885f8d3_2;0;0;0;-1;4.81e-07;731.631
0x676722924_2;0;0;0;-1;11.2887;742.921
0x473df460_2;0;0;0;-1;4.11e-07;742.924
0xd7c117cf0_1;0;0;0;-1;5.21e-07;742.926
0x1fee06865_2;0;0;0;-1;2.11e-07;742.928
0x567a9a588_1;0;0;0;-1;2.41e-07;742.929
0x5c72d4086_0;0;0;0;-1;3.31e-07;742.931
0xeeba89549_1;0;0;0;-1;1.9e-07;742.933
0x26722f5fb_0;0;0;0;-1;4.31e-07;742.935
0x87fa7a735_2;0;0;0;-1;6.51e-07;742.937
0x952a863ed_1;0;0;0;-1;2.61e-07;742.939
0x1166f4b089_0;0;0;0;-1;3.31e-07;742.941
0x2fc80423b_0;1;1;114;1;9.59933;752.542
0x16f103040_2;0;0;0;-1;7.71e-07;752.544
0x1236a867f1_2;0;0;0;-1;5.61e-07;752.546
0x5c70c7a16_0;0;0;0;-1;4.51e-07;752.548
0x5de04b8d8_2;0;0;0;-1;2.2e-07;752.55
0x11de25952e_0;0;0;0;-1;4.51e-07;752.552
0x315a705ad_1;0;0;0;-1;6.41e-07;752.554
0xb4ffc0d55_2;0;0;0;-1;6.31e-07;752.556
0x116d5c23be_1;0;0;0;-1;4.81e-07;752.558
0xa91827e35_1;0;0;0;-1;2.21e-07;752.559
0x235dde40d_2;0;0;0;-1;8.21e-07;752.561
0x11c9355bcb_1;0;0;0;-1;4.91e-07;752.563
0x4beeb2784_2;0;0;0;-1;6.01e-07;752.565
0x116c6ab871_2;0;0;0;-1;2.4e-07;752.567
0x23cd269a8_2;0;0;0;-1;2.4e-07;752.569
0xf1f99c3b5_2;0;0;0;-1;7.01e-07;752.571
0xc8d17920d_0;1;0;4;-1;2.5966;755.169
0xd61418f24_2;0;0;0;-1;1.152e-06;755.171
0x1657385a4_1;0;0;0;-1;4.61e-07;755.173
0xdea75546c_1;0;0;0;-1;3.7e-07;755.175
0xdaf6cbd31_0;0;0;0;-1;3.21e-07;755.177
0x804993ce0_0;0;0;0;-1;3.41e-07;755.179
0xd75c10b6b_0;0;0;0;-1;5.31e-07;755.181
0xa3e997de_0;0;0;0;-1;4.41e-07;755.183
0xd169bbac_0;0;0;0;-1;2.61e-07;755.185
0x73d57969b_2;0;0;0;-1;2.3e-07;755.187
0x7a09cebdc_0;0;0;0;-1;5.51e-07;755.188
0x10c8eab5ed_0;0;0;0;-1;8.71e-07;755.19
0xe6f3253ff_2;0;0;0;-1;6.22e-07;755.192
0xdbf675fb7_1;0;0;0;-1;7.51e-07;755.194
0xd46727db6_0;1;0;99;-1;0.536532;755.733
0x5744d30b7_2;0;0;0;-1;4.1e-07;755.735
0xd8150daf2_1;0;0;0;-1;6.82e-07;755.737
0x1641ce251_0;0;0;0;-1;0.685935;756.425
0xa9d99f591_1;0;0;0;-1;6.31e-07;756.427
0x7d2afa15b_2;0;0;0;-1;3.8e-07;756.429
0x48c907d0e_1;0;0;0;-1;2.01e-07;756.431
0xc78ad3dd9_2;0;0;0;-1;4.61e-07;756.433
0x589f5875_1;0;0;0;-1;2.6e-07;756.435
0x44342b548_0;0;0;0;-1;6.51e-07;756.436
0x11be2aa951_1;0;0;0;-1;7.11e-07;756.439
0x204da437e_1;0;0;0;-1;4.41e-07;756.44
0x8472a3d67_2;0;0;0;-1;5.01e-07;756.442
0x1005fec85e_2;0;0;0;-1;4.3e-07;756.444
0x796cf0adb_2;0;0;0;-1;7.71e-07;756.446
0x4b8828c2b_2;0;0;0;-1;4.11e-07;756.448
0xb9e1a9581_2;0;0;0;-1;3.31e-07;756.449
0xe422d69d6_1;0;0;0;-1;2.81e-07;756.451
0x565537b07_0;0;0;0;-1;3.4e-07;756.453
0x1d6ac9d58_0;0;0;0;-1;3.51e-07;756.455
0x4122e735_1;0;0;0;-1;2.71e-07;756.457
0x575552a22_0;0;0;0;-1;5.31e-07;756.459
0x14f14d8b6_2;0;0;0;-1;7.01e-07;756.461
0x69775d114_1;0;0;0;-1;2.5e-07;756.462
0x7f1fb1133_2;0;0;0;-1;3.6e-07;756.464
0xd354fdb96_1;0;0;0;-1;3.9e-07;756.466
0x1f55d79da_2;0;0;0;-1;2.41e-07;756.468
0xfe0d93487_1;0;0;0;-1;2e-07;756.47
0xdb9a696bc_0;0;0;0;-1;6.71e-07;756.471
0x9a7124dbc_1;0;0;0;-1;4.6e-07;756.473
0xa54d74e01_2;0;0;0;-1;2.1e-07;756.475
0x324636f7d_1;0;0;0;-1;3.91e-07;756.477
0x7907e06e5_0;0;0;0;-1;4.8e-07;756.479
0x932129279_0;0;0;0;-1;5.21e-07;756.481
0xa1256df2e_1;0;0;0;-1;7.11e-07;756.483
0x7d126227b_0;0;0;0;-1;7.31e-07;756.485
0x34994ae7c_1;0;0;0;-1;6.82e-07;756.487
0x1a028342e_2;0;0;0;-1;4.41e-07;756.489
0xf4f290ff3_0;0;0;0;-1;2.81e-07;756.491
0x7371c341a_2;0;0;0;-1;3e-07;756.492
0x69820376a_0;0;0;0;-1;5.21e-07;756.494
0x10b5df8d5d_0;0;0;0;-1;4.2e-07;756.496
0xb8a20e6ef_2;0;0;0;-1;5.21e-07;756.498
0xd3b5a9ee9_1;0;0;0;-1;4.11e-07;756.499
0x35972e439_1;0;0;0;-1;7.51e-07;756.501
0x5077df873_2;0;0;0;-1;7.92e-07;756.504
0xa9d956cbf_2;0;0;0;-1;9.12e-07;756.506
0x87f7a1c6f_0;0;0;0;-1;4.91e-07;756.507
0x2b6dc44fe_1;0;0;0;-1;1.81857;758.328
0xb6d0b3d8_1;0;0;0;-1;1.072e-06;758.331
0x4fc1e886e_2;0;0;0;-1;4.8e-07;758.333
0x12c1fb3f8_1;0;0;0;-1;2.11e-07;758.334
0x2541d26ba_0;0;0;0;-1;4.71e-07;758.336
0x758db6408_1;0;0;0;-1;6.31e-07;758.338
0x122c826925_1;0;0;0;-1;2.11e-07;758.34
0x1138dc41ae_1;0;0;0;-1;4.21e-07;758.342
0xdd6886b80_1;0;0;0;-1;2.21e-07;758.344
0x628c644b9_2;0;0;0;-1;5.11e-07;758.346
0xc89226809_2;0;0;0;-1;2.2e-07;758.348
0xf385a6cb1_0;0;0;0;-1;2.51e-07;758.349
0xa9f112241_0;1;0;1430;-1;0.714231;759.065
0xf2bc4fefe_2;0;0;0;-1;8.41e-07;759.068
0xb18693cb2_1;0;0;0;-1;4.81e-07;759.07
0x7b84c5d77_2;0;0;0;-1;4.61e-07;759.071
0x108e6e9e06_2;0;0;0;-1;1.8e-07;759.073
0x8c09a39ae_0;1;0;1430;-1;1.052e-06;759.075
0x111722b2f0_2;0;0;0;-1;0.476971;759.554
0x10e28765ab_2;0;0;0;-1;3.9e-07;759.557
0xa4788d35d_1;0;0;0;-1;3.71e-07;759.559
0x5f656b02e_1;0;0;0;-1;6.91e-07;759.561
0xa120a83ee_1;0;0;0;-1;6.42e-07;759.563
0x84acab2db_2;0;0;0;-1;6.51e-07;759.565
0xdbb03b6e5_2;0;0;0;-1;2.21e-07;759.566
0xa11b13a99_0;0;0;0;-1;5.31e-07;759.568
0x6305ba901_2;0;0;0;-1;6.81e-07;759.57
0xe5a3b663c_0;0;0;0;-1;5.41e-07;759.572
0xdad862c9b_0;0;0;0;-1;4.31e-07;759.574
0x4fac23b5e_1;0;0;0;-1;4.91e-07;759.576
0xd62060ade_0;0;0;0;-1;3.21e-07;759.578
0x63c1bf4bd_1;0;0;0;-1;5.61e-07;759.579
