git_hash=55c2d9c;execution date=20240625_134721;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0xc5a072ec9_2;0;0;0;-1;1.9e-07;1718.48
0x105d379823_1;0;0;0;-1;4.61e-07;1718.48
0x9b9a01975_1;0;0;0;-1;6.51e-07;1718.48
0x7711d092f_2;0;0;0;-1;2.21e-07;1718.49
0x1010e0679c_2;0;0;0;-1;3.2e-07;1718.49
0x623f5468_0;0;0;0;-1;1.91e-07;1718.49
0x10ff573852_2;0;0;0;-1;3.01e-07;1718.49
0xbbf4779d7_0;0;0;0;-1;2.8e-07;1718.49
0xd3c319d31_0;0;0;0;-1;1.91e-07;1718.49
0x43292c786_0;0;0;0;-1;2.01e-07;1718.5
0x13503116_0;0;0;0;-1;3.01e-07;1718.5
0xd135246f4_1;0;0;0;-1;2.01e-07;1718.5
0x3f18d495a_0;1;1;5798;8;20.5203;1739.02
0xb3b4540d3_0;0;0;0;-1;9.72e-07;1739.02
0x10aabdaf4d_1;0;0;0;-1;3.51e-07;1739.03
0xbb6d677b7_0;0;0;0;-1;2.21e-07;1739.03
0xd6e0e2af3_0;0;0;0;-1;2.4e-07;1739.03
0x8a1f04ba8_1;0;0;0;-1;3.41e-07;1739.03
0xa279b3ebc_2;0;0;0;-1;2.81e-07;1739.03
0x94a6606bf_0;0;0;0;-1;2.01e-07;1739.03
0xc2effda37_0;0;0;0;-1;2.8e-07;1739.04
0xa71dea6b5_0;0;0;0;-1;2.01e-07;1739.04
0x114dc6b966_0;0;0;0;-1;2e-07;1739.04
